id,ano,titulo,url,fonte,data_publicacao,data_coleta,categoria,sentimento,temas,palavras_chave,relevancia,regiao
2025_011,2025,N/A,https://news.google.com/read/CBMimwFBVV95cUxNb08yZGtFTEtZQ3RzSWlnbEhqdzlONFBDVDdBQzBBWGJnRmQzOU82dWs3VXhVUEZ6SmotT2c5aUdFcS10SUp5a3ZQN293emg1NG5UZ2c5cHZBaXBnRTBWN1ZsUTlCdnBNaFpad2daZnNyd1Z0Nm1NUEZZeVplM1c5N2dieG40SmtCOUhHZlRqZTZZRnhwdnFmV0tqVdIBoAFBVV95cUxNck9MOVEyd1VuYnJmT1NsZlZZWWRWbnE4ejR0Z0VNRWdUQThhTFdGZDVEdy1zRlUzd3owNFpoVW05NWJ5eExYVW9PeFlyWHBnd01KY1ZrVl9NS0xYR3gyMkY2UjdQT21rWXZkaFo1Mkh2V2VJOFdldGdiT2EybW01S3B1Y3h1R0ZkalVFemlKV0J5V090cWNYT2stWl9lNHNN?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Exame,2025-05-28T07:00:00Z,2025-08-23 20:34:34,Geracao Z no mercado de trabalho,negativo,outros,,0.7501554939326396,Nacional
2025_012,2025,N/A,https://news.google.com/read/CBMiugFBVV95cUxOSnBaTGxvNVdYcUVwbTV3X2Uyd2RadHItdFVuWnpTbEN0UV9wWEs4OWVXQi15TUFCeEN0dDZqNm94UV9NU1JyTkRsYU9EWUdKbkM2eTQxMDRaZmFKMkpQWllfdjhUS19RN0doaDNoOVdDNnZ4cHBWXy1CVU5YQkJfVUlQRDRPcE5WeU5RNGdWa281SUo5SzlIQTh6SGljdmV4NWEwNFRXNW9DdHRZcGVmUGlCdlBBcmxLSFHSAcgBQVVfeXFMUHVaRTVCWXpuT21HVVNLUU1zLU41UFdVNTE2YzMyeHVTN0U5cnJjdVpjb0R6R3g5bjNnV1llOWFwYUc1V1lHdlBGZWg3eHV3RUswX0tlS3lHYUc1SWZPOEZVOC1ndUxuVnhqRmNNR1M1UDdneTJxT2RLNE5GT2p2Z01jUGNuejV5cWNUV2lrZEtMT0pLOVNaMTMzREJUNTB4MEh2cDZBMVVhTUk2X2FmdThNajZ2Uy12WW5hYXAzeFB1TTZXblhpdGM?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Valor Econômico,2025-05-29T07:00:00Z,2025-08-23 20:34:34,Geracao Z no mercado de trabalho,negativo,outros,,0.5397283441957762,Nacional
2025_013,2025,N/A,https://news.google.com/read/CBMimwFBVV95cUxPbF9SU0hEQlBlUWktcXNZMXJFeEkxUElBWkhjeWlzU2tvaWthUGhaVzRNNlk5ZjBucFZicV80RmhrYzRDTnFyS00yTU53N0lhaXBjS0NjRVhBRW1kbEJGYzdjX3UwdkF2QlV1VjJPdm5pQjN6N0stZktGSno4U3ZMQ21WZkVJbU1Zb1NlZEJUczdsbDdKajRTVkJycw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Forbes Brasil,2025-02-04T08:00:00Z,2025-08-23 20:34:35,Geracao Z no mercado de trabalho,negativo,outros,,0.5408443702475721,Nacional
2025_014,2025,N/A,https://news.google.com/read/CBMigwJBVV95cUxQdlRLbkFrYUdjbkVjSk04MTdUZ1UyOHp3dDZ3cVVhVzl3WWtCTG9YSklxN3puLXlxZnJmcG1jUkI2RGFpemFRTF94QXdrbnFvVVoyd3h2LU5pQnFQdnNWNjJpSmlyOXhZdFl4SF9rMFM0ZWNEb2EzTU9NYU5ReW5xbnZaNmlYUzVCYVp5NUVleERFX3F1RUJFUEh6UHc0SDFRZ2lLRG03UFo5bkpzbTBMalctTUl0Vlc5TFhranV6SWVzYnlBRlloVGtfSXZuTFAtZW9qWFRpNGY0c3JNZzJNR1JRZnF2X2RsbkQ1MTM5NWtIX29DaTVpUjEyREctd1hCTFMw0gGSAkFVX3lxTE0zaW1FekVhakhOcVhpcFIxbUFnMmRmNHFHSjJ3VjBUNVhiR2l1WFpvSUYweFZLUjZyUUxhSXZES1FsMHpFdXk1amdkVGZWSGlqLVFXSDVGTTFsSlhvcVE5MTI2R3lFTnl2MjRqc1JCeTFEV1B1QU9lSG5BN1lLVVdGMGxhUDV0TzNZT2doaHRoNHhlNm5DQ2dEcVRLQnFhbDVJRTBPODNaSkljTVJkR0RrX0pfdW95YU5keVNMQWdEVXZFQTBmbVhfdUE4U2JZTXo1Yk1tV3ptWWpOejdGQnFSRlNXZUxWcHFIaHhMM2d2V2tNcWg0VU1TR1R3N2xOZzdMUFZ4MmZibVFtSVRnNmQ2ZXc?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,G1,2025-02-23T08:00:00Z,2025-08-23 20:34:35,Geracao Z no mercado de trabalho,negativo,outros,,0.6783931788895438,Nacional
2025_015,2025,N/A,https://news.google.com/read/CBMiogFBVV95cUxOYXc3LTNTTHM0VUNJZkRuS1hVekpXWnY4MVdJZDBwVmFTVWlsOVVTcmdmSjF2dnFVVW94VXEta25EMXppcURfVzhTT2ExSC1NUTJXbW1xTHA2Q2U3NFpTNXJ3eWppcjB3ZXhXNXgtZWl0LURpWmhEdlRXaFVUS1U0M1I1ZjQ4dG5TYmNKMndtMTY4OFkxRlpUV1kxbEVfaEoyTlE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Forbes Brasil,2025-05-15T07:00:00Z,2025-08-23 20:34:35,Geracao Z no mercado de trabalho,negativo,outros,,0.7464553362246874,Nacional
2025_016,2025,N/A,https://news.google.com/read/CBMitAFBVV95cUxPNTBwNW5sdW1Wa2NCT2Y2Q0hnM2RxS0wxajY5ZmllTVRwWTZ5YWppM0lpZ0V1c2FfWUpYeFd2ZS1tWHNRTmJ1X3ltamMtYUpjUHpxUWx3Z3dNaTA4TVRORDBac3hxRUl4cWpGQjUyU0dLUW1nWHpOQmVJRTJEbkdPNDdFczZGNEE3ajluVGVFRGdnTkdaakcxLUttT005QWxVWkZYOGVkbXgzVUM3RXYxYTJ3b0s?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Forbes Brasil,2025-02-20T08:00:00Z,2025-08-23 20:34:35,Geracao Z no mercado de trabalho,negativo,outros,,0.6396801025759207,Nacional
2025_017,2025,N/A,https://news.google.com/read/CBMi8AFBVV95cUxPaV9GT0t2X3V3dGoyLUNFamM1cGUzU3huVFdKVWY0OV9mOGl2V0ZLbWhObDZWbGN0S1pKWG80NXpNazFpR2JjaXhldTdTbzZneG9uSlJRMGlvY2NieVFqbnl5NHcwWmNPMnR3QnktVGg2SUZSdWlaVHAxUUdEZmRFcElwVGtwVTFJLWFoZzNBX01JbHVwNzhMZWd6X0Y0SVU4UjNFOV9aTkNUSzRPWHRJZ19BUnpscWJUYTZpVl8tLTFlSjlXMElJZW5KRTgyemQwcnMxSUFQVW9aSDdBaHBvcHU0aUNvakhQRkF3TTRqT1I?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Contadores.cnt.br,2025-08-01T07:00:00Z,2025-08-23 20:34:35,Geracao Z no mercado de trabalho,negativo,outros,,0.7874204358440109,Nacional
2025_018,2025,N/A,https://news.google.com/read/CBMiogFBVV95cUxNLVRRZFVrc0Y0WEl3OXZQRF9zTXZPMUVuSnJjYXR1T1ZtR0tOeWtHb2JEUTdodTY2THR5QTFGZ0JTM3BwS1VDLV9ORTEzU3hHZDI0MzJYeEpVT1JTNUcxX0NGSXZxeVljM1JCX1NjR3h0OEozOC1uazZ1bm9iTWlzYmNiM2JBbllkb0V2eG5CUFdSNmZrZlVtZ2JVc0xJcXpBZmc?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,VEJA,2025-07-02T07:00:00Z,2025-08-23 20:34:36,Geracao Z no mercado de trabalho,positivo,outros,,0.6905251447598233,Nacional
2025_019,2025,N/A,https://news.google.com/read/CBMiowFBVV95cUxNQklSX0x4SmRFS0luMjN3VXhTcnVFSi1lU0FhcjNPemtOelhpOGhWS2tmNi1mVmM5TlROcEMxbXdINE1xS2pTb3dDQkZhckg5WFYzVjlUYlRlajE5UGRLR2FSUXRhOGpHeVM5a2JLdVlkWktwSGxpTUwxWUV3Rlg0UHg1WUVOUEpGNzlMVDdVMDdBV254N0FhdEZqak54a3J3VXRR?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Portal Contabeis,2025-08-02T07:00:00Z,2025-08-23 20:34:36,Geracao Z no mercado de trabalho,negativo,outros,,0.9507141255668204,Nacional
2025_020,2025,N/A,https://news.google.com/read/CBMiyAFBVV95cUxNQ3pOMlk0bEk5dVMySlpRVTlhNGlxRTJXU3RUUVREcXVJY3FHV1dNZFFOTDdIRGxxOFlCUDlEcURZUndoLVVxal9YeWZ1V2JQdF9PeGFSRVU2WjRXcEw2cnA0cWxqSDF5cWRBY3JhbXBOZ0p0d2I1UnBLUEx3VkpOakU1T0lpOVppcmkwS0lqU01WSTZ2X096dEJOdFI5SmYwSkRGN3k0aDVmWUtfd2VmaTZMVXZBbW91RzhHX3ZHWjFRTHJEV0ljZg?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,IGN Brasil,2025-04-11T07:00:00Z,2025-08-23 20:34:36,Geracao Z no mercado de trabalho,negativo,outros,,0.6155599118176173,Nacional
